Planteo,PalabrasClave,Ejemplo
Excepcion de Prescripcion Art 82,Opone prescripcion o Art. 82,"se deja opuesta a todo evento la prescripcion liberatoria prevista en el art. 82 "
Determinacion Haber Inicial y Movilidad,DETERMINACION // HABER INICIAL Y MOVILIDAD,El haber previsional se encuentra integrado por las prestaciones de PBU PC y PAP 
Movilidad,Leyes 26.417 y 27.426 // cuestion abstracta,la cuestion sujeta a debate -esto es la actualizacion de los haberes- deviene abstracto 
Calculo del Haber Inicial,METODOLOGIA UTILIZADA // ISBIC // ELLIFF,impugna la forma utilizada por mi mandante a efectos de calcular su haber 
Recalculo de PBU,POLLIO // LLORENTE // FIGON // IMPROCEDENCIA PBU,analisis difiere de la realidad ya que obtuvo su beneficio con posterioridad al 2009 
Constitucionalidad Normas,CONSTITUCIONALIDAD DE LAS NORMAS ATACADAS,La declaracion de inconstitucionalidad de una ley es un acto de suma gravedad 
Inconstitucionalidad Dec 807/16,DECRETO 807/2016 // RIPTE // ISBIC,se encuentra en contraposicion a lo establecido en el fallo Elliff Alberto Jose [cite: 2, 4]
Inconstitucionalidad Ley 27.609,CIEZA // BADARO // CHOCOBAR // Ley 27.609,la sustitucion de un mecanismo de movilidad por otro no irroga agravio constitucional [cite: 2, 4]
Tope Intrinseco,Art 9 Ley 24.241 // MOPRES,establecio un maximo imponible para los aportes y contribuciones [cite: 2, 4]
Tope Extrinseco,Art 9 Ley 24.463,la Ley 24.463 vino a establecer el tope extrinseco [cite: 2, 4]
Inciso 2 Res 06/09,82% del monto maximo,no cabe duda de que procede efectuarle la deduccion que establece la escala del art 9 [cite: 3, 4]
Inciso 3 Chocobar,Chocobar,La fijacion de haberes maximos ha sido convalidada en el precedente Chocobar [cite: 3, 4]
Costas,Art 71 CPCC // Orden Causado,las costas deben ser distribuidas en la forma que preve el art. 71 del CPCC [cite: 3, 4]
Villanustre,Villanustre,la aplicacion del criterio del fallo Villanustre se torna indispensable [cite: 3, 4]
Tasa de Interes,Caja de ahorros comun // DIAZ SINIVALDO,se le aplique el interes correspondiente a la caja de ahorros comun [cite: 3, 4]
Impuesto a las Ganancias,Fallo GARCIA // RETENCION IMPUESTO GANANCIAS,solicito se rechace el planteo y se cite como tercero interesado [cite: 3, 4]
Bonos y Refuerzos,BONOS DE EMERGENCIA // RUB // MEDINA BLANCA,el aceleramiento de precios tiene una mayor incidencia en las personas de menores ingresos [cite: 4]
